nrow,language_id,algorithm_id,content
53,10,2,"import Foundation\n\nclass Graph {\n    var adjacencyList: [Int: [Int]] = [:]\n    \n    func addEdge(_ u: Int, _ v: Int) {\n        if adjacencyList[u] == nil {\n            adjacencyList[u] = []\n        }\n        adjacencyList[u]?.append(v)\n        \n        if adjacencyList[v] == nil {\n            adjacencyList[v] = []\n        }\n        adjacencyList[v]?.append(u)\n    }\n    \n    func bfs(start: Int) {\n        var queue: [Int] = []\n        var visited: Set<Int> = []\n        \n        queue.append(start)\n        visited.insert(start)\n        \n        while !queue.isEmpty {\n            let vertex = queue.removeFirst()\n            print(vertex, terminator: \" \")\n            \n            if let neighbors = adjacencyList[vertex] {\n                for neighbor in neighbors {\n                    if !visited.contains(neighbor) {\n                        queue.append(neighbor)\n                        visited.insert(neighbor)\n                    }\n                }\n            }\n        }\n    }\n}\n\n// Example usage\nlet g = Graph()\n\ng.addEdge(0, 1)\ng.addEdge(0, 2)\ng.addEdge(1, 2)\ng.addEdge(2, 0)\ng.addEdge(2, 3)\ng.addEdge(3, 3)\n\nprint(\"Breadth First Traversal (starting from 2):\")\ng.bfs(start: 2)\n"
49,2,11,"package main\n\nimport (\n    \"fmt\"\n)\n\nfunc heapify(arr []int, n int, i int) {\n    largest := i\n    left := 2*i + 1\n    right := 2*i + 2\n\n    if left < n && arr[left] > arr[largest] {\n        largest = left\n    }\n\n    if right < n && arr[right] > arr[largest] {\n        largest = right\n    }\n\n    if largest != i {\n        arr[i], arr[largest] = arr[largest], arr[i]\n        heapify(arr, n, largest)\n    }\n}\n\nfunc heapSort(arr []int) {\n    n := len(arr)\n\n    // Build heap (rearrange array)\n    for i := n/2 - 1; i >= 0; i-- {\n        heapify(arr, n, i)\n    }\n\n    // One by one extract an element from heap\n    for i := n - 1; i >= 0; i-- {\n        arr[0], arr[i] = arr[i], arr[0]\n        heapify(arr, i, 0)\n    }\n}\n\nfunc main() {\n    arr := []int{12, 11, 13, 5, 6, 7}\n    fmt.Println(\"Original array: \", arr)\n  \n    heapSort(arr)\n  \n    fmt.Println(\"Sorted array: \", arr)\n}\n"
17,10,3,"func fibonacci(_ n: Int) -> Int {\n    var memo = [Int](repeating: 0, count: n + 1)\n    memo[0] = 0\n    memo[1] = 1\n    \n    for i in 2...n {\n        memo[i] = memo[i - 1] + memo[i - 2]\n    }\n    \n    return memo[n]\n}\n\n// Example usage\nlet n = 6\nlet result = fibonacci(n)\nprint(\"Fibonacci of \\(n): \\(result)\")\n"
32,6,12,"#include <iostream>\n#include <stack>\n\nusing namespace std;\n\nint main() {\n    stack<int> st;\n\n    // Pushing elements into the stack\n    st.push(10);\n    st.push(20);\n    st.push(30);\n\n    // Checking if stack is empty\n    if (st.empty()) {\n        cout << \"Stack is empty!\" << endl;\n    } else {\n        cout << \"Stack is not empty!\" << endl;\n    }\n\n    // Accessing the top element of the stack\n    cout << \"Top element of stack: \" << st.top() << endl;\n\n    // Popping elements from the stack\n    while (!st.empty()) {\n        cout << \"Popped element: \" << st.top() << endl;\n        st.pop();\n    }\n\n    return 0;\n}\n"
24,7,14,"using System;\n\nclass Program\n{\n    static int GCD(int a, int b)\n    {\n        while (b != 0)\n        {\n            int temp = b;\n            b = a % b;\n            a = temp;\n        }\n        return a;\n    }\n\n    static void Main(string[] args)\n    {\n        int a = 48;\n        int b = 18;\n        int gcd = GCD(a, b);\n        Console.WriteLine(\"GCD of {0} and {1} is {2}\", a, b, gcd);\n    }\n}\n"
51,11,5,"public class UnionFind {\n    private int[] parent;\n    private int[] size;\n\n    public UnionFind(int n) {\n        parent = new int[n];\n        size = new int[n];\n        for (int i = 0; i < n; i++) {\n            parent[i] = i;\n            size[i] = 1;\n        }\n    }\n\n    public int find(int x) {\n        if (parent[x] == x) {\n            return x;\n        }\n        // Path compression\n        parent[x] = find(parent[x]);\n        return parent[x];\n    }\n\n    public void union(int x, int y) {\n        int rootX = find(x);\n        int rootY = find(y);\n\n        if (rootX != rootY) {\n            if (size[rootX] < size[rootY]) {\n                parent[rootX] = rootY;\n                size[rootY] += size[rootX];\n            } else {\n                parent[rootY] = rootX;\n                size[rootX] += size[rootY];\n            }\n        }\n    }\n\n    public static void main(String[] args) {\n        // Example usage\n        UnionFind uf = new UnionFind(5);\n\n        uf.union(0, 2);\n        uf.union(4, 2);\n        uf.union(3, 1);\n\n        // Find operations\n        System.out.println(uf.find(4)); // Output: 2\n        System.out.println(uf.find(0)); // Output: 2\n        System.out.println(uf.find(3)); // Output: 1\n        System.out.println(uf.find(1)); // Output: 1\n        System.out.println(uf"
29,10,4,"func binarySearch<T: Comparable>(_ array: [T], key: T) -> Int? {\n    var lowerBound = 0\n    var upperBound = array.count - 1\n    \n    while lowerBound <= upperBound {\n        let mid = (lowerBound + upperBound) / 2\n        \n        if array[mid] == key {\n            return mid\n        } else if array[mid] < key {\n            lowerBound = mid + 1\n        } else {\n            upperBound = mid - 1\n        }\n    }\n    \n    return nil\n}\n\n// Example usage\nlet numbers = [10, 20, 30, 40, 50, 60, 70, 80, 90, 100]\nlet searchKey = 50\n\nif let index = binarySearch(numbers, key: searchKey) {\n    print(\"Found at index \\(index)\")\n} else {\n    print(\"Not found\")\n}\n"
26,8,6,"&lt;?php\n\nfunction bubbleSort($arr) {\n    $n = count($arr);\n    \n    for ($i = 0; $i < $n - 1; $i++) {\n        for ($j = 0; $j < $n - $i - 1; $j++) {\n            if ($arr[$j] > $arr[$j + 1]) {\n                // Swap arr[j] and arr[j+1]\n                $temp = $arr[$j];\n                $arr[$j] = $arr[$j + 1];\n                $arr[$j + 1] = $temp;\n            }\n        }\n    }\n    \n    return $arr;\n}\n\n// Example usage\n$arr = array(64, 34, 25, 12, 22, 11, 90);\necho \"Original array: \";\nprint_r($arr);\necho \"Sorted array: \";\nprint_r(bubbleSort($arr));\n?&gt;"
15,17,14,"module Main exposing (..)\n\ngcd : Int -> Int -> Int\ngcd a b =\n    if b == 0 then\n        a\n    else\n        gcd b (a % b)\n\nmain =\n    let\n        result = gcd 48 18\n    in\n    Debug.log \"GCD: \" result\n"
31,8,4,"&lt;?php\n\nfunction binarySearch($arr, $target) {\n    $left = 0;\n    $right = count($arr) - 1;\n    \n    while ($left &lt;= $right) {\n        $mid = floor(($left + $right) / 2);\n        if ($arr[$mid] == $target) {\n            return $mid;\n        } elseif ($arr[$mid] &lt; $target) {\n            $left = $mid + 1;\n        } else {\n            $right = $mid - 1;\n        }\n    }\n    \n    return -1;\n}\n\n// Example usage\n$sortedArray = [2, 4, 6, 8, 10, 12, 14, 16];\n$target = 8;\n$result = binarySearch($sortedArray, $target);\nif ($result == -1) {\n    echo \"Element not found in array.\";\n} else {\n    echo \"Element found at index \" . $result . \".\";\n}\n\n?&gt;"
65,17,5,"module Main exposing (..)\n\nimport Dict exposing (Dict)\nimport List exposing (List)\nimport Set exposing (Set)\n\ntype alias UnionFind a =\n    { parent : Dict a a\n    , rank : Dict a Int\n    }\n\nempty : UnionFind a\nempty =\n    { parent = Dict.empty\n    , rank = Dict.empty\n    }\n\nfind : Ord a => a -> UnionFind a -> ( a, UnionFind a ) \nfind x uf =\n    let\n        root =\n            findRoot x uf\n\n        updatedUf =\n            { uf | parent = Dict.insert x root uf.parent }\n    in\n    ( root, updatedUf )\n\nfindRoot : Ord a => a -> UnionFind a -> a\nfindRoot x uf =\n    case Dict.get x uf.parent of\n        Just p ->\n            if p /= x then\n                let\n                    ( newRoot, updatedUf ) =\n                        find p uf\n                in\n                { updatedUf | parent = Dict.insert x newRoot uf.parent }\n                    |> findRoot x\n\n            else\n                x\n\n        Nothing ->\n            x\n\nunion : Ord a => a -> a -> UnionFind a -> UnionFind a\nunion x y uf =\n    let\n        ( rootX, updatedUf1 ) =\n            find x uf\n\n        ( rootY, updatedUf2 ) =\n            find y updatedUf1\n    in\n    if rootX /= rootY then\n        let\n            rankX =\n                Dict.get rootX uf.rank\n                    |> Maybe.withDefault 0\n\n            rankY =\n                Dict.get rootY uf.rank\n                    |> Maybe.withDefault 0\n"
25,3,4,"function binarySearch(arr: number[], target: number): number {\n    let start = 0;\n    let end = arr.length - 1;\n\n    while (start <= end) {\n        const mid = Math.floor((start + end) / 2);\n\n        if (arr[mid] === target) {\n            return mid;\n        } else if (arr[mid] < target) {\n            start = mid + 1;\n        } else {\n            end = mid - 1;\n        }\n    }\n\n    return -1;\n}\n\n// Example usage\nconst arr = [2, 4, 7, 10, 14, 20];\nconst target = 10;\n\nconsole.log(\"The index of target in the array is: \" + binarySearch(arr, target));\n"
24,1,1,"def dfs(graph, start):\n    visited = set()\n    stack = [start]\n\n    while stack:\n        vertex = stack.pop()\n        if vertex not in visited:\n            visited.add(vertex)\n            print(vertex, end=\" \")\n            stack.extend(graph[vertex] - visited)\n\n# Example usage\ngraph = {\n    'A': set(['B', 'C']),\n    'B': set(['A', 'D']),\n    'C': set(['A', 'E']),\n    'D': set(['B', 'F']),\n    'E': set(['C', 'F']),\n    'F': set(['D', 'E'])\n}\n\nprint(\"Depth First Traversal (starting from 'A'):\")\ndfs(graph, 'A')\n"
29,10,9,"func selectionSort(_ array: [Int]) -> [Int] {\n    guard array.count > 1 else {\n        return array\n    }\n    \n    var mutableArray = array\n    \n    for currentIndex in 0..&lt;mutableArray.count - 1 {\n        var minimumIndex = currentIndex\n        \n        for i in currentIndex + 1..<mutableArray.count {\n            if mutableArray[i] &lt; mutableArray[minimumIndex] {\n                minimumIndex = i\n            }\n        }\n        \n        if minimumIndex != currentIndex {\n            mutableArray.swapAt(currentIndex, minimumIndex)\n        }\n    }\n    \n    return mutableArray\n}\n\n// Example usage\nlet array = [64, 34, 25, 12, 22, 11, 90]\nlet sortedArray = selectionSort(array)\nprint(\"Original array: \\(array)\")\nprint(\"Sorted array: \\(sortedArray)\")"
10,18,14,"function gcd(a, b)\n    if b == 0\n        return a\n    else\n        return gcd(b, a % b)\n    end\nend\n\nprintln(gcd(48, 18)) # Output: 6\n"
